Year,URBANISATION,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2004,U,Jenin,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Jenin,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Jenin,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Jenin,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Jenin,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Jenin,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Jenin,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Jenin,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Jenin,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Jenin,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Jenin,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Jenin,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Jenin,2017,NUMBER,SH_SAN_DEFECT,
0,U,Tubas & Northern Valleys,0,NUMBER,SH_SAN_DEFECT,
2000,U,Tubas & Northern Valleys,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Tubas & Northern Valleys,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Tubas & Northern Valleys,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Tubas & Northern Valleys,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Tubas & Northern Valleys,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Tubas & Northern Valleys,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Tubas & Northern Valleys,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Tubas & Northern Valleys,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Tubas & Northern Valleys,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Tubas & Northern Valleys,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Tubas & Northern Valleys,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Tubas & Northern Valleys,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Tubas & Northern Valleys,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Tubas & Northern Valleys,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Tubas & Northern Valleys,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Tubas & Northern Valleys,2017,NUMBER,SH_SAN_DEFECT,
0,U,Tulkarm,0,NUMBER,SH_SAN_DEFECT,
2000,U,Tulkarm,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Tulkarm,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Tulkarm,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Tulkarm,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Tulkarm,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Tulkarm,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Tulkarm,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Tulkarm,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Tulkarm,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Tulkarm,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Tulkarm,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Tulkarm,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Tulkarm,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Tulkarm,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Tulkarm,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Tulkarm,2017,NUMBER,SH_SAN_DEFECT,
0,U,Nablus,0,NUMBER,SH_SAN_DEFECT,
2000,U,Nablus,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Nablus,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Nablus,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Nablus,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Nablus,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Nablus,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Nablus,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Nablus,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Nablus,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Nablus,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Nablus,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Nablus,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Nablus,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Nablus,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Nablus,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Nablus,2017,NUMBER,SH_SAN_DEFECT,
0,U,Qalqiliya,0,NUMBER,SH_SAN_DEFECT,
2000,U,Qalqiliya,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Qalqiliya,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Qalqiliya,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Qalqiliya,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Qalqiliya,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Qalqiliya,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Qalqiliya,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Qalqiliya,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Qalqiliya,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Qalqiliya,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Qalqiliya,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Qalqiliya,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Qalqiliya,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Qalqiliya,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Qalqiliya,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Qalqiliya,2017,NUMBER,SH_SAN_DEFECT,
0,U,Salfit,0,NUMBER,SH_SAN_DEFECT,
2000,U,Salfit,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Salfit,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Salfit,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Salfit,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Salfit,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Salfit,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Salfit,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Salfit,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Salfit,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Salfit,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Salfit,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Salfit,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Salfit,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Salfit,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Salfit,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Salfit,2017,NUMBER,SH_SAN_DEFECT,
0,U,Ramallah & Al-Bireh,0,NUMBER,SH_SAN_DEFECT,
2000,U,Ramallah & Al-Bireh,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Ramallah & Al-Bireh,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Ramallah & Al-Bireh,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Ramallah & Al-Bireh,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Ramallah & Al-Bireh,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Ramallah & Al-Bireh,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Ramallah & Al-Bireh,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Ramallah & Al-Bireh,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Ramallah & Al-Bireh,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Ramallah & Al-Bireh,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Ramallah & Al-Bireh,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Ramallah & Al-Bireh,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Ramallah & Al-Bireh,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Ramallah & Al-Bireh,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Ramallah & Al-Bireh,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Ramallah & Al-Bireh,2017,NUMBER,SH_SAN_DEFECT,
0,U,Jericho & AL Aghwar,0,NUMBER,SH_SAN_DEFECT,
2000,U,Jericho & AL Aghwar,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Jericho & AL Aghwar,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Jericho & AL Aghwar,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Jericho & AL Aghwar,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Jericho & AL Aghwar,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Jericho & AL Aghwar,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Jericho & AL Aghwar,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Jericho & AL Aghwar,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Jericho & AL Aghwar,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Jericho & AL Aghwar,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Jericho & AL Aghwar,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Jericho & AL Aghwar,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Jericho & AL Aghwar,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Jericho & AL Aghwar,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Jericho & AL Aghwar,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Jericho & AL Aghwar,2017,NUMBER,SH_SAN_DEFECT,
0,U,Jerusalem,0,NUMBER,SH_SAN_DEFECT,
2000,U,Jerusalem,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Jerusalem,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Jerusalem,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Jerusalem,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Jerusalem,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Jerusalem,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Jerusalem,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Jerusalem,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Jerusalem,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Jerusalem,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Jerusalem,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Jerusalem,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Jerusalem,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Jerusalem,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Jerusalem,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Jerusalem,2017,NUMBER,SH_SAN_DEFECT,
0,U,Bethlehem,0,NUMBER,SH_SAN_DEFECT,
2000,U,Bethlehem,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Bethlehem,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Bethlehem,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Bethlehem,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Bethlehem,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Bethlehem,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Bethlehem,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Bethlehem,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Bethlehem,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Bethlehem,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Bethlehem,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Bethlehem,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Bethlehem,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Bethlehem,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Bethlehem,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Bethlehem,2017,NUMBER,SH_SAN_DEFECT,
0,U,Hebron,0,NUMBER,SH_SAN_DEFECT,
2000,U,Hebron,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Hebron,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Hebron,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Hebron,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Hebron,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Hebron,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Hebron,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Hebron,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Hebron,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Hebron,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Hebron,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Hebron,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Hebron,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Hebron,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Hebron,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Hebron,2017,NUMBER,SH_SAN_DEFECT,
0,U,North Gaza,0,NUMBER,SH_SAN_DEFECT,
2000,U,North Gaza,2000,NUMBER,SH_SAN_DEFECT,
2002,U,North Gaza,2002,NUMBER,SH_SAN_DEFECT,
2003,U,North Gaza,2003,NUMBER,SH_SAN_DEFECT,
2004,U,North Gaza,2004,NUMBER,SH_SAN_DEFECT,
2005,U,North Gaza,2005,NUMBER,SH_SAN_DEFECT,
2006,U,North Gaza,2006,NUMBER,SH_SAN_DEFECT,
2007,U,North Gaza,2007,NUMBER,SH_SAN_DEFECT,
2008,U,North Gaza,2008,NUMBER,SH_SAN_DEFECT,
2009,U,North Gaza,2009,NUMBER,SH_SAN_DEFECT,
2010,U,North Gaza,2010,NUMBER,SH_SAN_DEFECT,
2011,U,North Gaza,2011,NUMBER,SH_SAN_DEFECT,
2012,U,North Gaza,2012,NUMBER,SH_SAN_DEFECT,
2013,U,North Gaza,2013,NUMBER,SH_SAN_DEFECT,
2014,U,North Gaza,2014,NUMBER,SH_SAN_DEFECT,
2015,U,North Gaza,2015,NUMBER,SH_SAN_DEFECT,
2017,U,North Gaza,2017,NUMBER,SH_SAN_DEFECT,
0,U,Gaza,0,NUMBER,SH_SAN_DEFECT,
2000,U,Gaza,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Gaza,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Gaza,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Gaza,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Gaza,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Gaza,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Gaza,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Gaza,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Gaza,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Gaza,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Gaza,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Gaza,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Gaza,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Gaza,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Gaza,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Gaza,2017,NUMBER,SH_SAN_DEFECT,
0,U,Dier Al-Balah,0,NUMBER,SH_SAN_DEFECT,
2000,U,Dier Al-Balah,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Dier Al-Balah,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Dier Al-Balah,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Dier Al-Balah,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Dier Al-Balah,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Dier Al-Balah,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Dier Al-Balah,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Dier Al-Balah,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Dier Al-Balah,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Dier Al-Balah,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Dier Al-Balah,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Dier Al-Balah,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Dier Al-Balah,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Dier Al-Balah,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Dier Al-Balah,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Dier Al-Balah,2017,NUMBER,SH_SAN_DEFECT,
0,U,Khan Yunis,0,NUMBER,SH_SAN_DEFECT,
2000,U,Khan Yunis,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Khan Yunis,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Khan Yunis,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Khan Yunis,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Khan Yunis,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Khan Yunis,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Khan Yunis,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Khan Yunis,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Khan Yunis,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Khan Yunis,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Khan Yunis,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Khan Yunis,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Khan Yunis,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Khan Yunis,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Khan Yunis,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Khan Yunis,2017,NUMBER,SH_SAN_DEFECT,
0,U,Rafah,0,NUMBER,SH_SAN_DEFECT,
2000,U,Rafah,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Rafah,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Rafah,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Rafah,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Rafah,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Rafah,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Rafah,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Rafah,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Rafah,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Rafah,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Rafah,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Rafah,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Rafah,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Rafah,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Rafah,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Rafah,2017,NUMBER,SH_SAN_DEFECT,
0,R,West Bank,0,NUMBER,SH_SAN_DEFECT,
2000,R,West Bank,2000,NUMBER,SH_SAN_DEFECT,
2002,R,West Bank,2002,NUMBER,SH_SAN_DEFECT,
2003,R,West Bank,2003,NUMBER,SH_SAN_DEFECT,
2004,R,West Bank,2004,NUMBER,SH_SAN_DEFECT,
2005,R,West Bank,2005,NUMBER,SH_SAN_DEFECT,
2006,R,West Bank,2006,NUMBER,SH_SAN_DEFECT,
2007,R,West Bank,2007,NUMBER,SH_SAN_DEFECT,
2008,R,West Bank,2008,NUMBER,SH_SAN_DEFECT,
2009,R,West Bank,2009,NUMBER,SH_SAN_DEFECT,
2010,R,West Bank,2010,NUMBER,SH_SAN_DEFECT,
2011,R,West Bank,2011,NUMBER,SH_SAN_DEFECT,
2012,R,West Bank,2012,NUMBER,SH_SAN_DEFECT,
2013,R,West Bank,2013,NUMBER,SH_SAN_DEFECT,
2014,R,West Bank,2014,NUMBER,SH_SAN_DEFECT,
2015,R,West Bank,2015,NUMBER,SH_SAN_DEFECT,
2017,R,West Bank,2017,NUMBER,SH_SAN_DEFECT,
0,R,Gaza Strip,0,NUMBER,SH_SAN_DEFECT,
2000,R,Gaza Strip,2000,NUMBER,SH_SAN_DEFECT,
2002,R,Gaza Strip,2002,NUMBER,SH_SAN_DEFECT,
2003,R,Gaza Strip,2003,NUMBER,SH_SAN_DEFECT,
2004,R,Gaza Strip,2004,NUMBER,SH_SAN_DEFECT,
2005,R,Gaza Strip,2005,NUMBER,SH_SAN_DEFECT,
2006,R,Gaza Strip,2006,NUMBER,SH_SAN_DEFECT,
2007,R,Gaza Strip,2007,NUMBER,SH_SAN_DEFECT,
2008,R,Gaza Strip,2008,NUMBER,SH_SAN_DEFECT,
2009,R,Gaza Strip,2009,NUMBER,SH_SAN_DEFECT,
2010,R,Gaza Strip,2010,NUMBER,SH_SAN_DEFECT,
2011,R,Gaza Strip,2011,NUMBER,SH_SAN_DEFECT,
2012,R,Gaza Strip,2012,NUMBER,SH_SAN_DEFECT,
2013,R,Gaza Strip,2013,NUMBER,SH_SAN_DEFECT,
2014,R,Gaza Strip,2014,NUMBER,SH_SAN_DEFECT,
2015,R,Gaza Strip,2015,NUMBER,SH_SAN_DEFECT,
2017,R,Gaza Strip,2017,NUMBER,SH_SAN_DEFECT,
0,R,PS,0,NUMBER,SH_SAN_DEFECT,
2000,R,PS,2000,NUMBER,SH_SAN_DEFECT,
2002,R,PS,2002,NUMBER,SH_SAN_DEFECT,
2003,R,PS,2003,NUMBER,SH_SAN_DEFECT,
2004,R,PS,2004,NUMBER,SH_SAN_DEFECT,
2005,R,PS,2005,NUMBER,SH_SAN_DEFECT,99.5
2006,R,PS,2006,NUMBER,SH_SAN_DEFECT,99.2
2007,R,PS,2007,NUMBER,SH_SAN_DEFECT,97.9
2008,R,PS,2008,NUMBER,SH_SAN_DEFECT,98.4
2009,R,PS,2009,NUMBER,SH_SAN_DEFECT,
2010,R,PS,2010,NUMBER,SH_SAN_DEFECT,87.5
2011,R,PS,2011,NUMBER,SH_SAN_DEFECT,98.8
2012,R,PS,2012,NUMBER,SH_SAN_DEFECT,98.0
2013,R,PS,2013,NUMBER,SH_SAN_DEFECT,98.6
2014,R,PS,2014,NUMBER,SH_SAN_DEFECT,98.8
2015,R,PS,2015,NUMBER,SH_SAN_DEFECT,98.8
2017,R,PS,2017,NUMBER,SH_SAN_DEFECT,99.2
0,R,Jenin,0,NUMBER,SH_SAN_DEFECT,
2000,R,Jenin,2000,NUMBER,SH_SAN_DEFECT,
2002,R,Jenin,2002,NUMBER,SH_SAN_DEFECT,
2003,R,Jenin,2003,NUMBER,SH_SAN_DEFECT,
2004,R,Jenin,2004,NUMBER,SH_SAN_DEFECT,
2005,R,Jenin,2005,NUMBER,SH_SAN_DEFECT,
2006,R,Jenin,2006,NUMBER,SH_SAN_DEFECT,
2007,R,Jenin,2007,NUMBER,SH_SAN_DEFECT,
2008,R,Jenin,2008,NUMBER,SH_SAN_DEFECT,
2009,R,Jenin,2009,NUMBER,SH_SAN_DEFECT,
2010,R,Jenin,2010,NUMBER,SH_SAN_DEFECT,
2011,R,Jenin,2011,NUMBER,SH_SAN_DEFECT,
2012,R,Jenin,2012,NUMBER,SH_SAN_DEFECT,
2013,R,Jenin,2013,NUMBER,SH_SAN_DEFECT,
2014,R,Jenin,2014,NUMBER,SH_SAN_DEFECT,
2015,R,Jenin,2015,NUMBER,SH_SAN_DEFECT,
2017,R,Jenin,2017,NUMBER,SH_SAN_DEFECT,
0,R,Tubas & Northern Valleys,0,NUMBER,SH_SAN_DEFECT,
2000,R,Tubas & Northern Valleys,2000,NUMBER,SH_SAN_DEFECT,
2002,R,Tubas & Northern Valleys,2002,NUMBER,SH_SAN_DEFECT,
2003,R,Tubas & Northern Valleys,2003,NUMBER,SH_SAN_DEFECT,
2004,R,Tubas & Northern Valleys,2004,NUMBER,SH_SAN_DEFECT,
2005,R,Tubas & Northern Valleys,2005,NUMBER,SH_SAN_DEFECT,
2006,R,Tubas & Northern Valleys,2006,NUMBER,SH_SAN_DEFECT,
2007,R,Tubas & Northern Valleys,2007,NUMBER,SH_SAN_DEFECT,
2008,R,Tubas & Northern Valleys,2008,NUMBER,SH_SAN_DEFECT,
2009,R,Tubas & Northern Valleys,2009,NUMBER,SH_SAN_DEFECT,
2010,R,Tubas & Northern Valleys,2010,NUMBER,SH_SAN_DEFECT,
2011,R,Tubas & Northern Valleys,2011,NUMBER,SH_SAN_DEFECT,
2012,R,Tubas & Northern Valleys,2012,NUMBER,SH_SAN_DEFECT,
2013,R,Tubas & Northern Valleys,2013,NUMBER,SH_SAN_DEFECT,
2014,R,Tubas & Northern Valleys,2014,NUMBER,SH_SAN_DEFECT,
2015,R,Tubas & Northern Valleys,2015,NUMBER,SH_SAN_DEFECT,
2017,R,Tubas & Northern Valleys,2017,NUMBER,SH_SAN_DEFECT,
0,R,Tulkarm,0,NUMBER,SH_SAN_DEFECT,
2000,R,Tulkarm,2000,NUMBER,SH_SAN_DEFECT,
2002,R,Tulkarm,2002,NUMBER,SH_SAN_DEFECT,
2003,R,Tulkarm,2003,NUMBER,SH_SAN_DEFECT,
2004,R,Tulkarm,2004,NUMBER,SH_SAN_DEFECT,
2005,R,Tulkarm,2005,NUMBER,SH_SAN_DEFECT,
2006,R,Tulkarm,2006,NUMBER,SH_SAN_DEFECT,
2007,R,Tulkarm,2007,NUMBER,SH_SAN_DEFECT,
2008,R,Tulkarm,2008,NUMBER,SH_SAN_DEFECT,
2009,R,Tulkarm,2009,NUMBER,SH_SAN_DEFECT,
2010,R,Tulkarm,2010,NUMBER,SH_SAN_DEFECT,
2011,R,Tulkarm,2011,NUMBER,SH_SAN_DEFECT,
2012,R,Tulkarm,2012,NUMBER,SH_SAN_DEFECT,
2013,R,Tulkarm,2013,NUMBER,SH_SAN_DEFECT,
2014,R,Tulkarm,2014,NUMBER,SH_SAN_DEFECT,
2015,R,Tulkarm,2015,NUMBER,SH_SAN_DEFECT,
2017,R,Tulkarm,2017,NUMBER,SH_SAN_DEFECT,
0,R,Nablus,0,NUMBER,SH_SAN_DEFECT,
2000,R,Nablus,2000,NUMBER,SH_SAN_DEFECT,
2002,R,Nablus,2002,NUMBER,SH_SAN_DEFECT,
2003,R,Nablus,2003,NUMBER,SH_SAN_DEFECT,
2004,R,Nablus,2004,NUMBER,SH_SAN_DEFECT,
2005,R,Nablus,2005,NUMBER,SH_SAN_DEFECT,
2006,R,Nablus,2006,NUMBER,SH_SAN_DEFECT,
2007,R,Nablus,2007,NUMBER,SH_SAN_DEFECT,
2008,R,Nablus,2008,NUMBER,SH_SAN_DEFECT,
2009,R,Nablus,2009,NUMBER,SH_SAN_DEFECT,
2010,R,Nablus,2010,NUMBER,SH_SAN_DEFECT,
2011,R,Nablus,2011,NUMBER,SH_SAN_DEFECT,
2012,R,Nablus,2012,NUMBER,SH_SAN_DEFECT,
2013,R,Nablus,2013,NUMBER,SH_SAN_DEFECT,
2014,R,Nablus,2014,NUMBER,SH_SAN_DEFECT,
2015,R,Nablus,2015,NUMBER,SH_SAN_DEFECT,
2017,R,Nablus,2017,NUMBER,SH_SAN_DEFECT,
0,R,Qalqiliya,0,NUMBER,SH_SAN_DEFECT,
2000,R,Qalqiliya,2000,NUMBER,SH_SAN_DEFECT,
2002,R,Qalqiliya,2002,NUMBER,SH_SAN_DEFECT,
2003,R,Qalqiliya,2003,NUMBER,SH_SAN_DEFECT,
2004,R,Qalqiliya,2004,NUMBER,SH_SAN_DEFECT,
2005,R,Qalqiliya,2005,NUMBER,SH_SAN_DEFECT,
2006,R,Qalqiliya,2006,NUMBER,SH_SAN_DEFECT,
